;day;hour;grid_price;local_price;calculated_price;market_pressure;demand_from_centralgrid;microgrid_supply;energy_delta;battery_usage;battery_state
1987;23-03-2024;19;0.1949;0.13692760030980383;0.09335972748395714;1.8972640526724513e-16;3.552713678800501e-15;18.725457185552077;18.725457185552074;18.725457185552077;15.324505160653343
1988;23-03-2024;20;0.1949;0.12049628827262737;0.08215656018588231;0.0;0.0;19.560812524011602;19.560812524011602;19.560812524011602;6.630810705537074
1989;23-03-2024;21;0.1949;0.10603673367991209;0.07229777296357642;0.24428256261072367;4.049478578338043;16.577026763842685;12.527548185504642;16.577026763842685;0.0
1990;23-03-2024;22;0.1849;0.09830853967765163;0.08027608700571054;;20.446054656071666;0.0;-20.446054656071666;0.0;0.0
1991;23-03-2024;23;0.1849;0.12428597777435613;0.1849;;17.705562238814398;0.0;-17.705562238814398;0.0;0.0
1992;24-03-2024;0;0.1798;0.14094018444204928;0.1798;;3.6529098359952004;0.0;-3.6529098359952004;0.0;0.0
1993;24-03-2024;1;0.1798;0.1525981291094345;0.1798;;3.640622582286165;0.0;-3.640622582286165;0.0;0.0
1994;24-03-2024;2;0.1798;0.16075869037660412;0.1798;;3.680741111242677;0.0;-3.680741111242677;0.0;0.0
1995;24-03-2024;3;0.1798;0.16647108326362287;0.1798;;3.555313914167389;0.0;-3.555313914167389;0.0;0.0
1996;24-03-2024;4;0.1798;0.170469758284536;0.1798;;3.6476998437333457;0.0;-3.6476998437333457;0.0;0.0
1997;24-03-2024;5;0.1798;0.17326883079917518;0.1798;;3.725462946317638;0.0;-3.725462946317638;0.0;0.0
1998;24-03-2024;6;0.1798;0.1752281815594226;0.1798;;8.771096020256598;0.0;-8.771096020256598;0.0;0.0
1999;24-03-2024;7;0.1948;0.1810997270915958;0.1948;;3.505572001158155;0.0;-3.505572001158155;0.0;0.0
2000;24-03-2024;8;0.1948;0.18520980896411704;0.1948;;1.2705337408934931;0.0;-1.2705337408934931;0.0;0.6585690308465497
2001;24-03-2024;9;0.1948;0.18808686627488191;0.1948;11.035610224864671;2.3756654436154148;0.21527268499051644;-2.1603927586248983;0.21527268499051644;0.5628922819618758
2002;24-03-2024;10;0.1948;0.1948;0.25081958835826706;;1.7609447849118407;0.0;-1.7609447849118407;0.0;1.8611087125897343
2003;24-03-2024;11;0.1848;0.1848;0.1848;;0.039359866261775456;0.0;-0.039359866261775456;0.0;4.198751423072142
2004;24-03-2024;12;0.1848;0.18479999999999996;0.1848;;0.20395416562926716;0.0;-0.20395416562926716;0.0;6.584647486469765
2005;24-03-2024;13;0.1848;0.18479999999999996;0.1848;1.5143490494013654;1.9735716272911383;1.3032475095958276;-0.6703241176953108;1.3032475095958276;6.005426371093843
2006;24-03-2024;14;0.1848;0.1848;0.19992148114073544;1.627230251440077;0.9976411834171373;0.6130915907777883;-0.38454959263934896;0.6130915907777883;5.7329412196370475
2007;24-03-2024;15;0.1848;0.1848;0.2024478099553841;;0.6894370820076173;0.0;-0.6894370820076173;0.0;6.455905884662025
2008;24-03-2024;16;0.1848;0.18479999999999996;0.1848;0.021569018413509004;0.1438064743046672;6.667270227494406;6.523463753189739;6.667270227494406;3.4926746724422886
2009;24-03-2024;17;0.1948;0.16356043120281932;0.11400143734273116;0.17255268443911997;1.5066759765061022;8.731686681105721;7.225010704599619;8.731686681105721;0.0
2010;24-03-2024;18;0.1948;0.14970986654741636;0.1173918823514761;;17.886862312564414;0.0;-17.886862312564414;0.0;0.0
2011;24-03-2024;19;0.1948;0.16323690658319145;0.1948;;19.999139808709188;0.0;-19.999139808709188;0.0;0.0
2012;24-03-2024;20;0.1948;0.17270583460823402;0.1948;;19.275242802986273;0.0;-19.275242802986273;0.0;0.0
2013;24-03-2024;21;0.1948;0.1793340842257638;0.1948;;20.640349005379466;0.0;-20.640349005379466;0.0;0.0
2014;24-03-2024;22;0.1848;0.18097385895803464;0.1848;;17.967113068972694;0.0;-17.967113068972694;0.0;0.0
2015;24-03-2024;23;0.1848;0.18212170127062424;0.1848;;17.80446734771667;0.0;-17.80446734771667;0.0;0.0
2016;25-03-2024;0;0.1796;0.1796;0.1796;;3.781284606948007;0.0;-3.781284606948007;0.0;0.0
2017;25-03-2024;1;0.1796;0.1796;0.1796;;3.7157546909610475;0.0;-3.7157546909610475;0.0;0.0
2018;25-03-2024;2;0.1796;0.1796;0.1796;;3.9013271587896234;0.0;-3.9013271587896234;0.0;0.0
2019;25-03-2024;3;0.1796;0.1796;0.1796;;3.8334494287834993;0.0;-3.8334494287834993;0.0;0.0
2020;25-03-2024;4;0.1796;0.1796;0.1796;;3.651626783148772;0.0;-3.651626783148772;0.0;0.0
2021;25-03-2024;5;0.1796;0.1796;0.1796;;3.547599509419947;0.0;-3.547599509419947;0.0;0.0
2022;25-03-2024;6;0.1796;0.1796;0.1796;;4.84470053024447;0.0;-4.84470053024447;0.0;0.0
2023;25-03-2024;7;0.1946;0.18409999999999999;0.1946;;5.121023023621373;0.0;-5.121023023621373;0.0;0.0
2024;25-03-2024;8;0.1946;0.18724999999999997;0.1946;0.0;0.0;5.680914030232014;5.680914030232014;0.0;6.518132953065551
2025;25-03-2024;9;0.1946;0.16477999999999995;0.11234999999999998;0.0;0.0;26.93731990053837;26.93731990053837;0.0;16.268102315267114
2026;25-03-2024;10;0.1946;0.14500639999999995;0.09886799999999997;0.0;0.0;33.10801151508509;33.10801151508509;0.0;28.186986460697756
2027;25-03-2024;11;0.1846;0.12760563199999997;0.08700383999999997;0.09238932372680071;2.5366718822728727;27.4563313156607;24.919659433387828;0.0;39.80614808248287
2028;25-03-2024;12;0.1846;0.11488310920265114;0.08519722267550392;0.0;0.0;32.79044927672418;32.79044927672418;0.0;51.76458973327972
2029;25-03-2024;13;0.1846;0.101097136098333;0.06892986552159068;1.6377744605551015;3.539711494699104;2.1612936212837064;-1.3784178734153976;0.0;57.31384387921897
2030;25-03-2024;14;0.1846;0.10403038937239242;0.11087464701186443;0.591217733924212;0.019435088334201378;0.03287297930865646;0.01343789097445508;0.0;60.715195982672455
2031;25-03-2024;15;0.1846;0.10082335284419706;0.09334026761174125;4.461991948342115;2.8708011860118017;0.6433900417678853;-2.2274111442439164;0.6433900417678853;60.42924485299784
