;day;hour;grid_price;local_price;calculated_price;market_pressure;demand_from_centralgrid;microgrid_supply;energy_delta;battery_usage;battery_state
3938;13-06-2024;2;0.1699;0.0935597574374635;0.0935597574374635;1.0000000000000002;4.443497068095537;4.443497068095536;-8.881784197001252e-16;4.443497068095536;86.5027296153581
3939;13-06-2024;3;0.1699;0.0935597574374635;0.0935597574374635;1.0;4.01542823622537;4.01542823622537;0.0;4.01542823622537;85.90785135813952
3940;13-06-2024;4;0.1699;0.0935597574374635;0.0935597574374635;1.328013782958909;2.6703807143044895;2.0108079814914963;-0.6595727328129932;2.0108079814914963;85.60995387940005
3941;13-06-2024;5;0.1699;0.09514164961668117;0.09883273136818907;0.42168595744815707;1.105035143619808;2.6205168185038823;1.5154816748840743;0.0;86.53781577366144
3942;13-06-2024;6;0.1849;0.09049743813946001;0.07966094469261069;0.0;0.0;17.607513967188325;17.607513967188325;0.0;88.77789143816447
3943;13-06-2024;7;0.1849;0.07963774556272481;0.054298462883676006;0.04522712295271853;1.1706086792074217;25.882890681134036;24.712282001926614;0.0;92.11245402609194
3944;13-06-2024;8;0.1849;0.07090824081305654;0.050539396397163906;0.05160621520519152;1.8200489549868317;35.26801854679971;33.44796959181288;0.0;96.49423040294363
3945;13-06-2024;9;0.1849;0.06323438717025949;0.045328728670399734;0.05236515663178566;1.1583036735454348;22.119740454329975;20.96143678078454;0.0;99.30678975939828
3946;13-06-2024;10;0.1749;0.05640142336062163;0.040457841138133305;0.03183657764159651;0.8592274628881451;26.98868806066359;26.129460597775445;0.0;100.0
3947;13-06-2024;11;0.1749;0.05005090667029297;0.03523303439285945;0.0;0.0;28.248991289203385;28.248991289203385;0.0;100.0
3948;13-06-2024;12;0.1749;0.05;0.030030544002175783;0.0;0.0;29.255171158905497;29.255171158905497;0.0;100.0
3949;13-06-2024;13;0.1749;0.05;0.03;0.0;0.0;24.03350267605717;24.03350267605717;0.0;100.0
3950;13-06-2024;14;0.1749;0.05;0.03;0.0;0.0;32.30925661895777;32.30925661895777;0.0;100.0
