;day;hour;grid_price;local_price;market_pressure;microgrid_demand;microgrid_supply;energy_delta;battery_state
0;01-01-2024;0;0.1974;0.18739999999999998;;2.7833725665291245;0.0;-2.7833725665291245;0.0
1;01-01-2024;1;0.1974;0.18739999999999998;;2.624892260829495;0.0;-2.624892260829495;0.0
2;01-01-2024;2;0.1974;0.18739999999999998;;2.752740324233193;0.0;-2.752740324233193;0.0
3;01-01-2024;3;0.1974;0.18739999999999998;;2.7730756659590443;0.0;-2.7730756659590443;0.0
4;01-01-2024;4;0.1974;0.18739999999999998;;2.7155541987453944;0.0;-2.7155541987453944;0.0
5;01-01-2024;5;0.1974;0.18739999999999998;;2.7651447394146262;0.0;-2.7651447394146262;0.0
6;01-01-2024;6;0.1974;0.18739999999999998;;13.121691799466266;0.0;-13.121691799466266;0.0
7;01-01-2024;7;0.1974;0.18739999999999998;;13.561508632193151;0.0;-13.561508632193151;0.0
8;01-01-2024;8;0.1974;0.18739999999999998;;13.611198795380949;0.0;-13.611198795380949;0.0
9;01-01-2024;9;0.1974;0.18739999999999998;;14.882886965916073;0.0;-14.882886965916073;0.0
10;01-01-2024;10;0.1974;0.18739999999999998;;9.042829219769287;0.0;-9.042829219769287;0.0
11;01-01-2024;11;0.1974;0.18739999999999998;;9.15722985535245;0.0;-9.15722985535245;0.0
12;01-01-2024;12;0.1974;0.18739999999999998;;16.365885565500566;0.0;-16.365885565500566;0.0
13;01-01-2024;13;0.1974;0.18739999999999998;;12.107961184460065;0.0;-12.107961184460065;0.0
14;01-01-2024;14;0.1974;0.18739999999999998;;13.656344687388671;0.0;-13.656344687388671;0.0
15;01-01-2024;15;0.1974;0.18739999999999998;;16.056520896817446;0.0;-16.056520896817446;0.0
16;01-01-2024;16;0.1974;0.18739999999999998;;15.774331010468273;0.0;-15.774331010468273;0.0
17;01-01-2024;17;0.1974;0.18739999999999998;;17.149959921852783;0.0;-17.149959921852783;0.0
18;01-01-2024;18;0.1974;0.18739999999999998;;24.068198768659954;0.0;-24.068198768659954;0.0
19;01-01-2024;19;0.1974;0.18739999999999998;;24.249092943936454;0.0;-24.249092943936454;0.0
20;01-01-2024;20;0.1974;0.18739999999999998;;21.302474626271554;0.0;-21.302474626271554;0.0
21;01-01-2024;21;0.1974;0.18739999999999998;;21.18819882252208;0.0;-21.18819882252208;0.0
22;01-01-2024;22;0.1974;0.18739999999999998;;21.21014178602767;0.0;-21.21014178602767;0.0
23;01-01-2024;23;0.1974;0.18739999999999998;;21.93833780900879;0.0;-21.93833780900879;0.0
24;02-01-2024;0;0.1976;0.19046;;2.69003069585955;0.0;-2.69003069585955;0.0
25;02-01-2024;1;0.1976;0.19046;;2.7265320027217714;0.0;-2.7265320027217714;0.0
26;02-01-2024;2;0.1976;0.19046;;2.6797074443548765;0.0;-2.6797074443548765;0.0
27;02-01-2024;3;0.1976;0.19046;;2.7472593192396335;0.0;-2.7472593192396335;0.0
28;02-01-2024;4;0.1976;0.19046;;2.6871387751769493;0.0;-2.6871387751769493;0.0
29;02-01-2024;5;0.1976;0.19046;;2.779030685698312;0.0;-2.779030685698312;0.0
30;02-01-2024;6;0.1976;0.19046;;13.016419714852942;0.0;-13.016419714852942;0.0
31;02-01-2024;7;0.1976;0.19046;;13.852523130153935;0.0;-13.852523130153935;0.0
32;02-01-2024;8;0.1976;0.19046;;12.992716881499552;0.0;-12.992716881499552;0.0
33;02-01-2024;9;0.1976;0.19046;;12.565954267328545;0.0;-12.565954267328545;0.0
34;02-01-2024;10;0.1976;0.19046;;12.661389680683655;0.0;-12.661389680683655;0.0
35;02-01-2024;11;0.1976;0.19046;;12.795982853865967;0.0;-12.795982853865967;0.0
36;02-01-2024;12;0.1976;0.19046;;15.442283581423233;0.0;-15.442283581423233;0.0
37;02-01-2024;13;0.1976;0.19046;;16.834430153179078;0.0;-16.834430153179078;0.0
38;02-01-2024;14;0.1976;0.19046;;18.36084410334474;0.0;-18.36084410334474;0.0
39;02-01-2024;15;0.1976;0.19046;;17.69707502798978;0.0;-17.69707502798978;0.0
40;02-01-2024;16;0.1976;0.19046;;16.566394065945474;0.0;-16.566394065945474;0.0
41;02-01-2024;17;0.1976;0.19046;;18.45610239808831;0.0;-18.45610239808831;0.0
42;02-01-2024;18;0.1976;0.19046;;20.694168140392982;0.0;-20.694168140392982;0.0
43;02-01-2024;19;0.1976;0.19046;;22.54819708190807;0.0;-22.54819708190807;0.0
44;02-01-2024;20;0.1976;0.19046;;24.765317149069944;0.0;-24.765317149069944;0.0
45;02-01-2024;21;0.1976;0.19046;;23.735853814823262;0.0;-23.735853814823262;0.0
46;02-01-2024;22;0.1976;0.19046;;21.307390942024043;0.0;-21.307390942024043;0.0
47;02-01-2024;23;0.1976;0.19046;;21.46722255471063;0.0;-21.46722255471063;0.0
48;03-01-2024;0;0.1972;0.192482;;2.754010384660099;0.0;-2.754010384660099;0.0
49;03-01-2024;1;0.1972;0.192482;;2.7119417844142615;0.0;-2.7119417844142615;0.0
50;03-01-2024;2;0.1972;0.192482;;2.7993861052050213;0.0;-2.7993861052050213;0.0
51;03-01-2024;3;0.1972;0.192482;;2.744725760933469;0.0;-2.744725760933469;0.0
52;03-01-2024;4;0.1972;0.192482;;2.6961840969143047;0.0;-2.6961840969143047;0.0
53;03-01-2024;5;0.1972;0.192482;;2.7759575456935064;0.0;-2.7759575456935064;0.0
54;03-01-2024;6;0.1972;0.192482;;16.288358238834444;0.0;-16.288358238834444;0.0
55;03-01-2024;7;0.1972;0.192482;;13.759103236772349;0.0;-13.759103236772349;0.0
