;day;hour;grid_price;local_price;calculated_price;market_pressure;demand_from_centralgrid;microgrid_supply;energy_delta;battery_usage;battery_state
0;01-01-2024;0;0.1929;0.18289999999999998;0.0;;6.975648128991815;0.0;-6.975648128991815;0;0.0
1;01-01-2024;1;0.1929;0.18589999999999995;0.1929;;6.928864802842912;0.0;-6.928864802842912;0;0.0
2;01-01-2024;2;0.1929;0.18799999999999994;0.1929;;7.148099438038085;0.0;-7.148099438038085;0;0.0
3;01-01-2024;3;0.1929;0.18946999999999992;0.1929;;6.81970631500022;0.0;-6.81970631500022;0;0.0
4;01-01-2024;4;0.1929;0.19049899999999992;0.1929;;6.661524859922061;0.0;-6.661524859922061;0;0.0
5;01-01-2024;5;0.1929;0.19121929999999993;0.1929;;6.916029703581063;0.0;-6.916029703581063;0;0.0
6;01-01-2024;6;0.1929;0.19172350999999993;0.1929;;12.051502893507818;0.0;-12.051502893507818;0;0.0
7;01-01-2024;7;0.2079;0.19657645699999993;0.2079;;13.873107925356624;0.0;-13.873107925356624;0;0.0
8;01-01-2024;8;0.2079;0.19997351989999995;0.2079;;11.067341138404679;0.0;-11.067341138404679;0;0.0
9;01-01-2024;9;0.2079;0.20235146392999998;0.2079;;10.143036338729278;0.0;-10.143036338729278;0;0.0
10;01-01-2024;10;0.2079;0.20401602475099995;0.2079;;1.3604054448754677;0.0;-1.3604054448754677;0;0.0
11;01-01-2024;11;0.1979;0.1979;0.1979;;2.0464692108373357;0.0;-2.0464692108373357;0;0.0
12;01-01-2024;12;0.1979;0.19789999999999996;0.1979;;7.656623388443807;0.0;-7.656623388443807;0;0.0
13;01-01-2024;13;0.1979;0.19789999999999996;0.1979;;7.48729693036306;0.0;-7.48729693036306;0;0.0
14;01-01-2024;14;0.1979;0.19789999999999996;0.1979;;3.0714686950426455;0.0;-3.0714686950426455;0;0.0
15;01-01-2024;15;0.1979;0.19789999999999996;0.1979;;16.533277493228077;0.0;-16.533277493228077;0;0.0
16;01-01-2024;16;0.1979;0.19789999999999996;0.1979;;15.567293363434667;0.0;-15.567293363434667;0;0.0
17;01-01-2024;17;0.2079;0.20089999999999997;0.2079;;19.06976253641773;0.0;-19.06976253641773;0;0.0
18;01-01-2024;18;0.2079;0.20299999999999996;0.2079;;23.325529125382552;0.0;-23.325529125382552;0;0.0
19;01-01-2024;19;0.2079;0.20446999999999993;0.2079;;24.99558638193292;0.0;-24.99558638193292;0;0.0
20;01-01-2024;20;0.2079;0.20549899999999993;0.2079;;21.220340275268608;0.0;-21.220340275268608;0;0.0
21;01-01-2024;21;0.2079;0.20621929999999994;0.2079;;23.097756914604854;0.0;-23.097756914604854;0;0.0
22;01-01-2024;22;0.1979;0.1979;0.1979;;21.021429747745373;0.0;-21.021429747745373;0;0.0
23;01-01-2024;23;0.1979;0.19789999999999996;0.1979;;21.371835185485796;0.0;-21.371835185485796;0;0.0
24;02-01-2024;0;0.1927;0.1927;0.1927;;6.913525432512773;0.0;-6.913525432512773;0;0.0
25;02-01-2024;1;0.1927;0.1927;0.1927;;7.088413620576856;0.0;-7.088413620576856;0;0.0
26;02-01-2024;2;0.1927;0.1927;0.1927;;7.262277327549524;0.0;-7.262277327549524;0;0.0
27;02-01-2024;3;0.1927;0.1927;0.1927;;6.643708296126097;0.0;-6.643708296126097;0;0.0
28;02-01-2024;4;0.1927;0.1927;0.1927;;6.748235230105391;0.0;-6.748235230105391;0;0.0
29;02-01-2024;5;0.1927;0.1927;0.1927;;7.106890018685158;0.0;-7.106890018685158;0;0.0
30;02-01-2024;6;0.1927;0.1927;0.1927;;12.149095854613066;0.0;-12.149095854613066;0;0.0
31;02-01-2024;7;0.2077;0.19720000000000001;0.2077;;14.751723477732876;0.0;-14.751723477732876;0;0.0
32;02-01-2024;8;0.2077;0.20035;0.2077;;10.056557068726187;0.0;-10.056557068726187;0;0.0
33;02-01-2024;9;0.2077;0.20255499999999999;0.2077;;5.474754368654128;0.0;-5.474754368654128;0;0.0
34;02-01-2024;10;0.2077;0.2040985;0.2077;;8.369852509296273;0.0;-8.369852509296273;0;0.0
35;02-01-2024;11;0.1977;0.1977;0.1977;;8.638666599284184;0.0;-8.638666599284184;0;0.0
36;02-01-2024;12;0.1977;0.1977;0.1977;;11.73585010127063;0.0;-11.73585010127063;0;0.0
37;02-01-2024;13;0.1977;0.1977;0.1977;;12.58769299050218;0.0;-12.58769299050218;0;0.0
38;02-01-2024;14;0.1977;0.1977;0.1977;;16.724874801276275;0.0;-16.724874801276275;0;0.0
39;02-01-2024;15;0.1977;0.1977;0.1977;;15.509046171980836;0.0;-15.509046171980836;0;0.0
40;02-01-2024;16;0.1977;0.1977;0.1977;;15.708466656301168;0.0;-15.708466656301168;0;0.0
41;02-01-2024;17;0.2077;0.2007;0.2077;;17.775714916849562;0.0;-17.775714916849562;0;0.0
42;02-01-2024;18;0.2077;0.20279999999999998;0.2077;;21.307005362693697;0.0;-21.307005362693697;0;0.0
43;02-01-2024;19;0.2077;0.20426999999999998;0.2077;;22.012813127715656;0.0;-22.012813127715656;0;0.0
44;02-01-2024;20;0.2077;0.20529899999999998;0.2077;;21.700698660664465;0.0;-21.700698660664465;0;0.0
45;02-01-2024;21;0.2077;0.2060193;0.2077;;22.009451719379623;0.0;-22.009451719379623;0;0.0
46;02-01-2024;22;0.1977;0.1977;0.1977;;21.552228960561543;0.0;-21.552228960561543;0;0.0
47;02-01-2024;23;0.1977;0.1977;0.1977;;21.371202033776605;0.0;-21.371202033776605;0;0.0
