;day;hour;grid_price;local_price;calculated_price;market_pressure;demand_from_centralgrid;microgrid_supply;energy_delta;battery_usage;battery_state
7041;20-10-2024;9;0.1871;0.18349567524750993;0.1871;;0.8430807399485831;0.0;-0.8430807399485831;0.0;1.3761963297496265
7042;20-10-2024;10;0.1771;0.1771;0.1771;;2.480232154993884;0.0;-2.480232154993884;0.0;3.5231256933339528
7043;20-10-2024;11;0.1771;0.1771;0.1771;;3.7843821287164987;0.0;-3.7843821287164987;0.0;5.541514584161437
7044;20-10-2024;12;0.1771;0.1771;0.1771;;0.8109665859090833;0.0;-0.8109665859090833;0.0;7.81596125305763
7045;20-10-2024;13;0.1771;0.1771;0.1771;1.0068409559882567;5.860520486655222;5.820701325069633;-0.03981916158558896;5.820701325069633;5.228982886360015
7046;20-10-2024;14;0.1771;0.1771;0.17734148068174616;0.9999999999999999;12.68206210382142;12.682062103821421;1.7763568394002505e-15;12.682062103821421;0.0
7047;20-10-2024;15;0.1771;0.1771;0.1771;;11.981863117805016;0.0;-11.981863117805016;0.0;0.0
7048;20-10-2024;16;0.1771;0.1771;0.1771;;13.573025768978015;0.0;-13.573025768978015;0.0;0.0
7049;20-10-2024;17;0.1871;0.18009999999999998;0.1871;;13.694821398218593;0.0;-13.694821398218593;0.0;0.0
7050;20-10-2024;18;0.1871;0.18219999999999997;0.1871;;18.193206538931168;0.0;-18.193206538931168;0.0;0.0
7051;20-10-2024;19;0.1871;0.18366999999999997;0.1871;;20.69373546815234;0.0;-20.69373546815234;0.0;0.0
7052;20-10-2024;20;0.1871;0.18469899999999995;0.1871;;19.175674559646957;0.0;-19.175674559646957;0.0;0.0
7053;20-10-2024;21;0.1771;0.1771;0.1771;;20.76119994676832;0.0;-20.76119994676832;0.0;0.0
7054;20-10-2024;22;0.1721;0.1721;0.1721;;18.809153208433052;0.0;-18.809153208433052;0.0;0.0
7055;20-10-2024;23;0.1721;0.1721;0.1721;;18.343499568147973;0.0;-18.343499568147973;0.0;0.0
7056;21-10-2024;0;0.1722;0.17213;0.1722;;5.997226196840973;0.0;-5.997226196840973;0.0;0.0
7057;21-10-2024;1;0.1722;0.172151;0.1722;;5.998880097813265;0.0;-5.998880097813265;0.0;0.0
7058;21-10-2024;2;0.1722;0.17216569999999998;0.1722;;6.201559980484958;0.0;-6.201559980484958;0.0;0.0
7059;21-10-2024;3;0.1722;0.17217598999999997;0.1722;;6.005701380748457;0.0;-6.005701380748457;0.0;0.0
7060;21-10-2024;4;0.1722;0.17218319299999996;0.1722;;6.3015542931908906;0.0;-6.3015542931908906;0.0;0.0
7061;21-10-2024;5;0.1722;0.17218823509999998;0.1722;;6.1959170907630545;0.0;-6.1959170907630545;0.0;0.0
